,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,country_code
0,Caturra,Ethiopia,Washed / Wet,2014,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,0.12,231
1,Other,Ethiopia,Washed / Wet,2014,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12,231
2,Bourbon,Guatemala,Washed / Wet,2012,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,0,320
3,Caturra,Ethiopia,Natural / Dry,2014,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,0.11,231
4,Other,Ethiopia,Washed / Wet,2014,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12,231
5,Caturra,Brazil,Natural / Dry,2013,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,0.11,76
6,Other,Others,Washed / Wet,2012,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,0.11,604
7,Caturra,Ethiopia,Washed / Wet,Mar-10,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,0.03,231
8,Caturra,Ethiopia,Washed / Wet,Mar-10,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,0.03,231
9,Other,Ethiopia,Natural / Dry,2014,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1,231
10,Caturra,Ethiopia,Natural / Dry,2014,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,0.1,231
11,Other,Others,Washed / Wet,2014,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,0,840
12,Other,Others,Washed / Wet,2014,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,0,840
13,Caturra,Ethiopia,Washed / Wet,Mar-10,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,0.05,231
14,Other,Others,Washed / Wet,2014,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,0,840
15,Caturra,Others,Washed / Wet,2012,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,0.03,360
16,Caturra,Ethiopia,Washed / Wet,2010,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,0.05,231
17,Other,Others,Washed / Wet,2015,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1,156
