,total_cup_points,species,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,altitude_mean_meters,cupper_points,color,country_code
0,90.58,Arabica,Caturra,Ethiopia,Washed / Wet,2014,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,0.12,2075,8.75,Green,231
1,89.92,Arabica,Other,Ethiopia,Washed / Wet,2014,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,0.12,2075,8.58,Green,231
2,89.75,Arabica,Bourbon,Guatemala,Washed / Wet,2012,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,0,1700,9.25,Green,320
3,89.00,Arabica,Caturra,Ethiopia,Natural / Dry,2014,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,0.11,2000,8.67,Green,231
4,88.83,Arabica,Other,Ethiopia,Washed / Wet,2014,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,0.12,2075,8.58,Green,231
5,88.83,Arabica,Caturra,Brazil,Natural / Dry,2013,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,0.11,1200,8.33,Bluish-Green,76
6,88.75,Arabica,Other,Peru,Washed / Wet,2012,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,0.11,1200,8.5,Bluish-Green,604
7,88.67,Arabica,Caturra,Ethiopia,Washed / Wet,2010,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,0.03,1635,9,Green,231
8,88.42,Arabica,Caturra,Ethiopia,Washed / Wet,2010,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,0.03,1635,8.67,Green,231
9,88.25,Arabica,Other,Ethiopia,Natural / Dry,2014,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,0.1,1822.5,8.5,Green,231
10,88.08,Arabica,Caturra,Ethiopia,Natural / Dry,2014,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,0.1,1905,8.58,Green,231
11,87.92,Arabica,Other,United States,Washed / Wet,2014,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,0,1872,8.5,Green,840
12,87.92,Arabica,Other,United States,Washed / Wet,2014,8.08,8.67,8.33,8.42,8,8.08,10,10,10,0,1943,8.33,Green,840
14,87.83,Arabica,Caturra,Ethiopia,Washed / Wet,2010,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,0.05,1635,8.5,Green,231
15,87.58,Arabica,Other,United States,Washed / Wet,2014,8,8.5,8.58,8.17,8.17,8,10,10,10,0,2080,8.17,Green,840
16,87.42,Arabica,Caturra,Indonesia,Washed / Wet,2012,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,0.03,1500,8.33,Green,360
17,87.33,Arabica,Caturra,Ethiopia,Washed / Wet,2010,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,0.05,1200,8.83,Green,231
18,87.25,Arabica,Others,China,Washed / Wet,2015,8.42,8.25,8.08,8.17,7.92,8,10,10,10,0.1,1450,8.42,Green,156
19,87.25,Arabica,Others,Ethiopia,Natural / Dry,2014,8.17,8.17,8,8.17,8.08,8.33,10,10,10,0,1850,8.33,Green,231
20,87.25,Arabica,Other,United States,Washed / Wet,2014,8,8.25,8.08,8.5,8.25,8,10,10,10,0,2019,8.17,Green,840
21,87.17,Arabica,Caturra,Costa Rica,Washed / Wet,2014,8.08,8.25,8,8.17,8,8.33,10,10,10,0.11,1300,8.33,Green,188
22,87.17,Arabica,Other,Mexico,Washed / Wet,2012,8.17,8.25,8.17,8,7.83,8.17,10,10,10,0.13,1320,8.58,Green,484
23,87.08,Arabica,Other,United States,Washed / Wet,2014,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,0,2112,8.17,Green,840
24,87.08,Arabica,Caturra,Ethiopia,Natural / Dry,2013,8.42,8.17,7.92,8.17,8.33,8,10,10,10,0.11,1200,8.08,Bluish-Green,231
25,86.92,Arabica,Bourbon,Brazil,Natural / Dry,2011,8.5,8.5,8,8,8,8,10,10,10,0.12,1250,7.92,Green,76
26,86.92,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,0.05,1200,8.25,Green,231
27,86.83,Arabica,Others,Uganda,Washed / Wet,2013,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,0.12,1950,8.17,Green,800
28,86.67,Arabica,Caturra,Honduras,Washed / Wet,2016,8.17,8.08,8.08,8,8.08,8,10,10,10,0.1,1400,8.25,Green,340
30,86.58,Arabica,Caturra,Nicaragua,Washed / Wet,2012,7.92,8.25,8,8.33,8,8.08,10,10,10,0.08,1200,8,Green,558
32,86.42,Arabica,Bourbon,Brazil,Natural / Dry,2011,8.5,8.17,8,7.75,8,8,10,10,10,0.12,1300,8,Green,76
33,86.33,Arabica,Caturra,Costa Rica,Washed / Wet,2016,8.17,7.83,8,8.08,7.83,8,10,10,10,0,1300,8.42,Blue-Green,188
34,86.25,Arabica,Caturra,Ethiopia,Natural / Dry,2014,8,8.08,7.92,8,8.08,8.08,10,10,10,0.1,1775,8.08,Green,231
35,86.25,Arabica,Others,Kenya,Washed / Wet,2013,8.08,8,8,8.25,7.92,7.92,10,10,10,0.12,1800,8.08,Blue-Green,404
38,86.25,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,0.1,1200,8.17,Green,231
39,86.17,Arabica,Other,United States,Washed / Wet,2014,7.67,8.17,8,8,8.17,8.08,10,10,10,0,1941,8.08,Green,840
40,86.17,Arabica,Caturra,Thailand,Washed / Wet,2012,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,0.1,1300,8.42,Green,764
41,86.17,Arabica,Yellow Bourbon,Brazil,Washed / Wet,2010,8.17,7.92,7.92,7.75,8.33,8,10,10,10,0.08,12,8.08,Green,76
42,86.17,Arabica,Yellow Bourbon,Brazil,Washed / Wet,2010,8.42,7.92,8,7.75,7.92,8,10,10,10,0.01,12,8.17,Green,76
44,86.08,Arabica,Others,Kenya,Natural / Dry,2014,8.08,8.08,8,8,7.83,8.08,10,10,10,0.11,1754,8,Bluish-Green,404
45,86.08,Arabica,Bourbon,Brazil,Semi-washed / Semi-pulped,2011,8.33,8,8,8,7.75,8,10,10,10,0.11,1250,8,Blue-Green,76
46,86.00,Arabica,Caturra,Uganda,Semi-washed / Semi-pulped,2014,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,0,1200,8.08,Green,800
47,86.00,Arabica,Caturra,Colombia,Washed / Wet,2013,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,0.12,1200,8.17,Green,170
48,86.00,Arabica,Others,Kenya,Washed / Wet,2013,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,0.11,1860,8.17,Green,404
49,86.00,Arabica,Other,Uganda,Washed / Wet,2012,8.25,8,7.83,8.08,8,7.92,10,10,10,0.1,1650,7.92,Blue-Green,800
50,86.00,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.75,8.08,8,8.25,8,8,10,10,10,0.01,1750,7.92,Green,231
52,85.92,Arabica,Bourbon,Guatemala,Washed / Wet,2016,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,0.1,1200,8,Green,320
53,85.92,Arabica,Others,Uganda,Natural / Dry,2013,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,0.12,1650,8,Green,800
54,85.92,Arabica,Caturra,Colombia,Washed / Wet,2013,8,8,8,8.17,7.83,8,10,10,10,0,1800,7.92,Blue-Green,170
55,85.83,Arabica,Others,Panama,Washed / Wet,2017,8,8,7.92,8.08,7.83,8,10,10,10,0.08,1600,8,Bluish-Green,591
56,85.83,Arabica,Caturra,Ethiopia,Washed / Wet,2014,7.83,8.08,7.92,8.08,8,7.92,10,10,10,0.1,1900,8,Green,231
57,85.83,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.83,8,8,8.17,7.83,8,10,10,10,0.12,1524,8,Green,320
58,85.83,Arabica,Catuai,Guatemala,Washed / Wet,2012,8,8,7.83,8.33,7.83,7.83,10,10,10,0.1,1417.32,8,Bluish-Green,320
59,85.75,Arabica,Caturra,Ethiopia,Natural / Dry,2017,7.83,8,7.83,8.17,7.92,8,10,10,10,0.09,1200,8,Green,231
60,85.75,Arabica,Caturra,Peru,Washed / Wet,2013,8,8,8,8.08,7.92,7.75,10,10,10,0.1,1200,8,Green,604
61,85.75,Arabica,Caturra,Papua New Guinea,Washed / Wet,2012,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,0.12,1700,7.92,Bluish-Green,598
62,85.58,Arabica,Bourbon,El Salvador,Washed / Wet,2013,7.92,8.17,8,7.92,7.75,7.83,10,10,10,0.1,1500,8,Blue-Green,222
63,85.58,Arabica,Bourbon,El Salvador,Semi-washed / Semi-pulped,2012,7.83,8,8,7.75,7.92,8.17,10,10,10,0.11,1350,7.92,Green,222
65,85.50,Arabica,Caturra,Panama,Natural / Dry,2014,8,7.75,7.83,7.83,7.67,8.58,10,10,10,0.09,1680,7.83,Green,591
66,85.50,Arabica,Others,Kenya,Natural / Dry,2014,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,0.1,1900,8,Green,404
67,85.50,Arabica,Other,Ethiopia,Natural / Dry,2015,7.83,8,7.83,7.92,7.83,8.08,10,10,10,0.12,1900,8,Green,231
68,85.50,Arabica,Others,Uganda,Washed / Wet,2013,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,0.12,1600,8.08,Green,800
69,85.50,Arabica,Bourbon,Guatemala,Washed / Wet,2013,8,7.83,7.67,8.33,7.83,8,10,10,10,0.11,1731.264,7.83,Green,320
70,85.42,Arabica,Caturra,Ethiopia,Washed / Wet,2015,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,0.1,1900,8.08,Green,231
71,85.42,Arabica,Others,Uganda,Washed / Wet,2013,8.08,8,7.83,7.67,8,7.83,10,10,10,0.12,1950,8,Green,800
73,85.42,Arabica,Bourbon,Brazil,Semi-washed / Semi-pulped,2011,8,8,8,7.67,7.75,8,10,10,10,0.11,1250,8,Blue-Green,76
74,85.42,Arabica,Caturra,El Salvador,Washed / Wet,2010,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,0.01,1400,7.92,Green,222
75,85.33,Arabica,Others,China,Natural / Dry,2015,8,8,8,7.83,7.83,7.75,10,10,10,0.1,1700,7.92,Green,156
76,85.33,Arabica,Others,Guatemala,Natural / Dry,2014,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,0.11,1770,7.83,Green,320
77,85.33,Arabica,Caturra,Costa Rica,Washed / Wet,2014,7.92,8.08,8,7.92,8,8.08,10,10,9.33,0,1300,8,Bluish-Green,188
78,85.33,Arabica,Caturra,Costa Rica,Washed / Wet,2014,8,7.58,7.58,7.67,8.08,8.5,10,10,10,0.1,1300,7.92,Bluish-Green,188
79,85.33,Arabica,Others,Kenya,Washed / Wet,2012,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,0,1600,7.92,Green,404
80,85.33,Arabica,Others,Kenya,Washed / Wet,2012,8,7.92,7.92,8.08,7.83,7.75,10,10,10,0,1200,7.83,Green,404
81,85.33,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,0.05,1200,8.08,Green,231
82,85.33,Arabica,Typica,Ethiopia,Washed / Wet,2010,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,0.1,1200,8,Green,231
83,85.25,Arabica,Bourbon,Guatemala,Washed / Wet,2016,8,7.92,7.75,8,7.92,7.83,10,10,10,0.1,1200,7.83,Green,320
84,85.25,Arabica,Caturra,Colombia,Washed / Wet,2015,8.17,7.92,7.83,8,7.58,7.83,10,10,10,0.11,1550,7.92,Green,170
85,85.25,Arabica,Caturra,Colombia,Natural / Dry,2014,7.58,8.08,7.92,7.83,8,7.92,10,10,10,0.12,1550,7.92,Green,170
86,85.17,Arabica,Others,Indonesia,Semi-washed / Semi-pulped,2012,7.75,7.83,7.67,8,8.08,7.83,10,10,10,0.11,1325,8,Green,360
