Unnamed: 0,total_cup_points,species,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture
0,90.58,Arabica,Caturra,Ethiopia,Washed / Wet,2014,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,0.12
1,89.92,Arabica,Other,Ethiopia,Washed / Wet,2014,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12
2,89.75,Arabica,Bourbon,Guatemala,Washed / Wet,2012,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,0
3,89,Arabica,Caturra,Ethiopia,Natural / Dry,2014,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,0.11
4,88.83,Arabica,Other,Ethiopia,Washed / Wet,2014,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12
5,88.83,Arabica,Caturra,Brazil,Natural / Dry,2013,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,0.11
6,88.75,Arabica,Other,Others,Washed / Wet,2012,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,0.11
7,88.67,Arabica,Caturra,Ethiopia,Washed / Wet,Mar-10,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,0.03
8,88.42,Arabica,Caturra,Ethiopia,Washed / Wet,Mar-10,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,0.03
9,88.25,Arabica,Other,Ethiopia,Natural / Dry,2014,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1
10,88.08,Arabica,Caturra,Ethiopia,Natural / Dry,2014,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,0.1
11,87.92,Arabica,Other,Others,Washed / Wet,2014,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,0
12,87.92,Arabica,Other,Others,Washed / Wet,2014,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,0
13,87.92,Arabica,Caturra,United States (Hawaii),Washed / Wet,2010,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,0
14,87.83,Arabica,Caturra,Ethiopia,Washed / Wet,Mar-10,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,0.05
15,87.58,Arabica,Other,Others,Washed / Wet,2014,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,0
16,87.42,Arabica,Caturra,Others,Washed / Wet,2012,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,0.03
17,87.33,Arabica,Caturra,Ethiopia,Washed / Wet,2010,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,0.05
18,87.25,Arabica,Other,Others,Washed / Wet,2015,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1
19,87.25,Arabica,Other,Ethiopia,Natural / Dry,2014,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,0
20,87.25,Arabica,Other,Others,Washed / Wet,2014,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0
21,87.17,Arabica,Caturra,Costa Rica,Washed / Wet,2014,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11
22,87.17,Arabica,Other,Mexico,Washed / Wet,2012,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13
23,87.08,Arabica,Other,Others,Washed / Wet,2014,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,0
24,87.08,Arabica,Caturra,Ethiopia,Natural / Dry,2013,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,0.11
25,86.92,Arabica,Bourbon,Brazil,Natural / Dry,2011,8.5,8.5,8,8,8,8,10,10,10,7.92,0.12
26,86.92,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,0.05
27,86.83,Arabica,Other,Uganda,Washed / Wet,2013,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12
28,86.67,Arabica,Caturra,Honduras,Washed / Wet,2016,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,0.1
29,86.58,Arabica,Other,Taiwan,Pulped natural / honey,2015,8,8,8,8.25,8,8.17,10,10,10,8.17,0
30,86.58,Arabica,Caturra,Others,Washed / Wet,2012,7.92,8.25,8,8.33,8,8.08,10,10,10,8,0.08
31,86.5,Arabica,Caturra,"Tanzania, United Republic Of",Natural / Dry,2012,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,0.11
32,86.42,Arabica,Bourbon,Brazil,Natural / Dry,2011,8.5,8.17,8,7.75,8,8,10,10,10,8,0.12
33,86.33,Arabica,Caturra,Costa Rica,Washed / Wet,2016,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0
34,86.25,Arabica,Caturra,Ethiopia,Natural / Dry,2014,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,0.1
35,86.25,Arabica,Other,Others,Washed / Wet,2013,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12
36,86.25,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2012,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,0
37,86.25,Arabica,Caturra,United States (Hawaii),Washed / Wet,2010,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,0
38,86.25,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,0.1
39,86.17,Arabica,Other,Others,Washed / Wet,2014,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,0
40,86.17,Arabica,Caturra,Thailand,Washed / Wet,2012,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1
41,86.17,Arabica,Yellow Bourbon,Brazil,Washed / Wet,2010,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,0.08
42,86.17,Arabica,Yellow Bourbon,Brazil,Washed / Wet,2010,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,0.01
43,86.08,Arabica,Bourbon,Taiwan,Semi-washed / Semi-pulped,2015,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,0.12
44,86.08,Arabica,Other,Others,Natural / Dry,2014,8.08,8.08,8,8,7.83,8.08,10,10,10,8,0.11
45,86.08,Arabica,Bourbon,Brazil,Semi-washed / Semi-pulped,2011,8.33,8,8,8,7.75,8,10,10,10,8,0.11
46,86,Arabica,Caturra,Uganda,Semi-washed / Semi-pulped,2014,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,0
47,86,Arabica,Caturra,Colombia,Washed / Wet,2013,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0.12
48,86,Arabica,Other,Others,Washed / Wet,2013,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0.11
49,86,Arabica,Other,Uganda,Washed / Wet,2012,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,0.1
50,86,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.75,8.08,8,8.25,8,8,10,10,10,7.92,0.01
51,86,Arabica,Caturra,United States (Hawaii),Washed / Wet,2009,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,0
52,85.92,Arabica,Bourbon,Guatemala,Washed / Wet,2016,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,0.1
53,85.92,Arabica,Other,Uganda,Natural / Dry,2013,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,0.12
54,85.92,Arabica,Caturra,Colombia,Washed / Wet,2013,8,8,8,8.17,7.83,8,10,10,10,7.92,0
55,85.83,Arabica,Other,Others,Washed / Wet,2017,8,8,7.92,8.08,7.83,8,10,10,10,8,0.08
56,85.83,Arabica,Caturra,Ethiopia,Washed / Wet,2014,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,0.1
57,85.83,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.83,8,8,8.17,7.83,8,10,10,10,8,0.12
58,85.83,Arabica,Catuai,Guatemala,Washed / Wet,2012,8,8,7.83,8.33,7.83,7.83,10,10,10,8,0.1
59,85.75,Arabica,Caturra,Ethiopia,Natural / Dry,2017,7.83,8,7.83,8.17,7.92,8,10,10,10,8,0.09
60,85.75,Arabica,Caturra,Others,Washed / Wet,2013,8,8,8,8.08,7.92,7.75,10,10,10,8,0.1
61,85.75,Arabica,Caturra,Others,Washed / Wet,2012,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,0.12
62,85.58,Arabica,Bourbon,Others,Washed / Wet,2013,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,0.1
63,85.58,Arabica,Bourbon,Others,Semi-washed / Semi-pulped,2012,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,0.11
64,85.58,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2012,7.83,8,7.92,7.75,8.08,8,10,10,10,8,0
65,85.5,Arabica,Caturra,Others,Natural / Dry,2014,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,0.09
66,85.5,Arabica,Other,Others,Natural / Dry,2014,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,0.1
67,85.5,Arabica,Other,Ethiopia,Natural / Dry,2015,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,0.12
